STEVAL-MKI243A (ASM330LHHXG1)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	TEMP [C] 	
-44.896 	 -190.259 	 1001.99 	-2 	 -10 	 79 	0.77 	 -1.04125 	 -0.56 	29.3 	
-43.737 	 -190.869 	 1001.68 	-2 	 -10 	 79 	0.63875 	 -1.12 	 -0.5775 	29.2 	
-41.846 	 -188.978 	 1003.39 	-2 	 -10 	 79 	0.70875 	 -1.225 	 -0.51625 	29.2 	
-42.456 	 -189.893 	 1003.21 	-2 	 -10 	 79 	0.77 	 -1.1725 	 -0.55125 	29.2 	
-42.517 	 -189.344 	 1004.91 	-2 	 -10 	 79 	0.875 	 -1.155 	 -0.56875 	29.2 	
-41.907 	 -192.455 	 1003.33 	-2 	 -10 	 79 	0.77875 	 -1.1375 	 -0.49875 	29.2 	
-42.822 	 -190.93 	 1002.84 	-2 	 -10 	 79 	0.8575 	 -1.26 	 -0.525 	29.2 	
-41.419 	 -190.076 	 1003.21 	-2 	 -10 	 79 	0.77875 	 -1.155 	 -0.5775 	29.2 	
-41.907 	 -190.381 	 1004.91 	-2 	 -10 	 79 	0.875 	 -1.05875 	 -0.44625 	29.2 	
-42.029 	 -190.137 	 1001.38 	-2 	 -10 	 79 	0.84 	 -1.225 	 -0.55125 	29.2 	
-41.236 	 -189.344 	 1002.96 	-2 	 -10 	 79 	0.86625 	 -1.1725 	 -0.5425 	29.2 	
-41.602 	 -190.198 	 1003.14 	-2 	 -10 	 79 	0.70875 	 -1.00625 	 -0.51625 	29.2 	
-43.615 	 -189.466 	 1004.12 	-2 	 -10 	 79 	0.72625 	 -1.2075 	 -0.49 	29.2 	
-41.724 	 -191.662 	 1003.57 	-2 	 -10 	 79 	0.77 	 -1.30375 	 -0.6125 	29.2 	
-43.92 	 -191.845 	 1001.92 	-2 	 -10 	 79 	0.79625 	 -1.12 	 -0.49875 	29.2 	
-44.896 	 -191.479 	 1002.29 	-2 	 -10 	 79 	0.76125 	 -1.2075 	 -0.41125 	29.2 	
-44.53 	 -189.893 	 1001.74 	-2 	 -10 	 79 	0.735 	 -1.1375 	 -0.5425 	29.2 	
-43.127 	 -191.357 	 1001.31 	-2 	 -10 	 79 	0.805 	 -0.9975 	 -0.4725 	29.2 	
-44.53 	 -193.431 	 1002.53 	-2 	 -10 	 79 	0.74375 	 -1.1725 	 -0.4725 	29.2 	
-44.713 	 -192.516 	 1004.18 	-2 	 -10 	 79 	0.67375 	 -1.1725 	 -0.48125 	29.2 	
-45.994 	 -191.113 	 1001.38 	-2 	 -10 	 79 	0.69125 	 -1.12875 	 -0.48125 	29.2 	
-44.164 	 -191.357 	 1002.23 	-2 	 -10 	 79 	0.875 	 -1.05875 	 -0.525 	29.2 	
-45.384 	 -191.113 	 1001.99 	-2 	 -10 	 79 	0.83125 	 -1.12875 	 -0.46375 	29.2 	
-45.872 	 -192.272 	 1000.95 	-2 	 -10 	 79 	0.90125 	 -1.19 	 -0.5425 	29.2 	
-46.482 	 -190.32 	 1004.06 	-2 	 -10 	 79 	0.77875 	 -1.1725 	 -0.51625 	29.2 	
-44.652 	 -190.381 	 1002.47 	-2 	 -10 	 79 	0.6825 	 -1.33875 	 -0.525 	29.2 	
-46.665 	 -190.869 	 1003.45 	-2 	 -10 	 79 	0.69125 	 -1.32125 	 -0.42 	29.2 	
-44.408 	 -190.625 	 1003.88 	-2 	 -10 	 79 	0.74375 	 -1.295 	 -0.44625 	29.2 	
-43.371 	 -190.564 	 1002.96 	-2 	 -10 	 79 	0.805 	 -1.21625 	 -0.455 	29.2 	
-43.676 	 -191.967 	 1001.07 	-2 	 -10 	 79 	0.6475 	 -1.16375 	 -0.56875 	29.2 	
-45.445 	 -192.15 	 1002.72 	-2 	 -10 	 79 	0.77875 	 -1.085 	 -0.4375 	29.2 	
-44.713 	 -191.54 	 1003.08 	-2 	 -10 	 79 	0.76125 	 -1.085 	 -0.42 	29.2 	
-44.713 	 -191.906 	 1002.23 	-2 	 -10 	 79 	0.77 	 -1.0675 	 -0.525 	29.2 	
-45.018 	 -190.625 	 1004.06 	-2 	 -10 	 79 	0.7875 	 -1.19 	 -0.51625 	29.2 	
-46.482 	 -192.638 	 1004.18 	-2 	 -10 	 79 	0.8225 	 -1.1725 	 -0.48125 	29.2 	
-44.652 	 -194.224 	 1002.72 	-2 	 -10 	 79 	0.84875 	 -1.2425 	 -0.49875 	29.2 	
-46.848 	 -193.98 	 1001.56 	-2 	 -10 	 79 	0.7 	 -1.1375 	 -0.49 	29.2 	
-46.543 	 -195.2 	 1001.99 	-2 	 -11 	 79 	0.72625 	 -1.00625 	 -0.5775 	29.2 	
-47.336 	 -194.834 	 1003.45 	-2 	 -10 	 79 	0.8225 	 -1.12875 	 -0.58625 	29.2 	
-48.739 	 -194.529 	 1001.19 	-2 	 -10 	 79 	0.62125 	 -1.0675 	 -0.5075 	29.2 	
-50.935 	 -194.59 	 1000.28 	-2 	 -10 	 79 	0.63 	 -1.19 	 -0.4375 	29.2 	
-53.192 	 -195.139 	 999.424 	-2 	 -11 	 79 	0.875 	 -1.25125 	 -0.48125 	29.2 	
